Area_Name,Year,Group_Name,Sub_Group_Name,Trial_of_Violent_Crimes_by_Courts_By_Confession,Trial_of_Violent_Crimes_by_Courts_By_trial,Trial_of_Violent_Crimes_by_Courts_Total
Andhra Pradesh,2001,TVC- Arson,10. Arson,20.0,517.0,537.0
Arunachal Pradesh,2001,TVC- Arson,10. Arson,0.0,3.0,3.0
Assam,2001,TVC- Arson,10. Arson,5.0,142.0,147.0
Bihar,2001,TVC- Arson,10. Arson,0.0,208.0,208.0
Chandigarh,2001,TVC- Arson,10. Arson,0.0,3.0,3.0
Chhattisgarh,2001,TVC- Arson,10. Arson,22.0,41.0,63.0
Delhi,2001,TVC- Arson,10. Arson,18.0,75.0,93.0
Gujarat,2001,TVC- Arson,10. Arson,2.0,228.0,230.0
Haryana,2001,TVC- Arson,10. Arson,3.0,106.0,109.0
Himachal Pradesh,2001,TVC- Arson,10. Arson,0.0,66.0,66.0
Jammu & Kashmir,2001,TVC- Arson,10. Arson,0.0,48.0,48.0
Jharkhand,2001,TVC- Arson,10. Arson,0.0,66.0,66.0
Karnataka,2001,TVC- Arson,10. Arson,0.0,181.0,181.0
Kerala,2001,TVC- Arson,10. Arson,2.0,92.0,94.0
Maharashtra,2001,TVC- Arson,10. Arson,4.0,666.0,670.0
Meghalaya,2001,TVC- Arson,10. Arson,0.0,8.0,8.0
Mizoram,2001,TVC- Arson,10. Arson,2.0,11.0,13.0
Nagaland,2001,TVC- Arson,10. Arson,0.0,0.0,0.0
Odisha,2001,TVC- Arson,10. Arson,0.0,190.0,190.0
Punjab,2001,TVC- Arson,10. Arson,2.0,16.0,18.0
Tamil Nadu,2001,TVC- Arson,10. Arson,34.0,395.0,429.0
Tripura,2001,TVC- Arson,10. Arson,0.0,17.0,17.0
West Bengal,2001,TVC- Arson,10. Arson,0.0,40.0,40.0
Andaman & Nicobar Islands,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
Andhra Pradesh,2002,TVC- Arson,10. Arson,0.0,499.0,499.0
Assam,2002,TVC- Arson,10. Arson,5.0,125.0,130.0
Bihar,2002,TVC- Arson,10. Arson,0.0,148.0,148.0
Chandigarh,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
Chhattisgarh,2002,TVC- Arson,10. Arson,30.0,55.0,85.0
Daman & Diu,2002,TVC- Arson,10. Arson,0.0,0.0,0.0
Goa,2002,TVC- Arson,10. Arson,0.0,18.0,18.0
Gujarat,2002,TVC- Arson,10. Arson,0.0,207.0,207.0
Haryana,2002,TVC- Arson,10. Arson,0.0,168.0,168.0
Himachal Pradesh,2002,TVC- Arson,10. Arson,7.0,48.0,55.0
Jammu & Kashmir,2002,TVC- Arson,10. Arson,0.0,35.0,35.0
Karnataka,2002,TVC- Arson,10. Arson,0.0,137.0,137.0
Madhya Pradesh,2002,TVC- Arson,10. Arson,0.0,696.0,696.0
Maharashtra,2002,TVC- Arson,10. Arson,2.0,684.0,686.0
Meghalaya,2002,TVC- Arson,10. Arson,0.0,4.0,4.0
Mizoram,2002,TVC- Arson,10. Arson,4.0,7.0,11.0
Nagaland,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
Odisha,2002,TVC- Arson,10. Arson,0.0,218.0,218.0
Punjab,2002,TVC- Arson,10. Arson,0.0,44.0,44.0
Tamil Nadu,2002,TVC- Arson,10. Arson,32.0,495.0,527.0
Uttar Pradesh,2002,TVC- Arson,10. Arson,1.0,550.0,551.0
Uttarakhand,2002,TVC- Arson,10. Arson,0.0,17.0,17.0
West Bengal,2002,TVC- Arson,10. Arson,0.0,63.0,63.0
Andaman & Nicobar Islands,2003,TVC- Arson,10. Arson,0.0,3.0,3.0
Andhra Pradesh,2003,TVC- Arson,10. Arson,0.0,484.0,484.0
Arunachal Pradesh,2003,TVC- Arson,10. Arson,0.0,1.0,1.0
Assam,2003,TVC- Arson,10. Arson,8.0,173.0,181.0
Bihar,2003,TVC- Arson,10. Arson,0.0,233.0,233.0
Chandigarh,2003,TVC- Arson,10. Arson,0.0,2.0,2.0
Chhattisgarh,2003,TVC- Arson,10. Arson,0.0,57.0,57.0
Daman & Diu,2003,TVC- Arson,10. Arson,0.0,0.0,0.0
Gujarat,2003,TVC- Arson,10. Arson,1.0,313.0,314.0
Haryana,2003,TVC- Arson,10. Arson,0.0,122.0,122.0
Himachal Pradesh,2003,TVC- Arson,10. Arson,6.0,46.0,52.0
Jammu & Kashmir,2003,TVC- Arson,10. Arson,0.0,17.0,17.0
Jharkhand,2003,TVC- Arson,10. Arson,0.0,104.0,104.0
Karnataka,2003,TVC- Arson,10. Arson,0.0,236.0,236.0
Kerala,2003,TVC- Arson,10. Arson,2.0,128.0,130.0
Maharashtra,2003,TVC- Arson,10. Arson,0.0,663.0,663.0
Meghalaya,2003,TVC- Arson,10. Arson,0.0,2.0,2.0
Mizoram,2003,TVC- Arson,10. Arson,8.0,4.0,12.0
Nagaland,2003,TVC- Arson,10. Arson,0.0,0.0,0.0
Odisha,2003,TVC- Arson,10. Arson,0.0,246.0,246.0
Punjab,2003,TVC- Arson,10. Arson,0.0,44.0,44.0
Tamil Nadu,2003,TVC- Arson,10. Arson,9.0,404.0,413.0
Uttarakhand,2003,TVC- Arson,10. Arson,0.0,10.0,10.0
West Bengal,2003,TVC- Arson,10. Arson,0.0,82.0,82.0
Andhra Pradesh,2004,TVC- Arson,10. Arson,0.0,542.0,542.0
Arunachal Pradesh,2004,TVC- Arson,10. Arson,0.0,1.0,1.0
Assam,2004,TVC- Arson,10. Arson,20.0,173.0,193.0
Bihar,2004,TVC- Arson,10. Arson,0.0,286.0,286.0
Chandigarh,2004,TVC- Arson,10. Arson,0.0,1.0,1.0
Chhattisgarh,2004,TVC- Arson,10. Arson,7.0,70.0,77.0
Gujarat,2004,TVC- Arson,10. Arson,1.0,288.0,289.0
Himachal Pradesh,2004,TVC- Arson,10. Arson,0.0,54.0,54.0
Karnataka,2004,TVC- Arson,10. Arson,0.0,186.0,186.0
Maharashtra,2004,TVC- Arson,10. Arson,0.0,593.0,593.0
Manipur,2004,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2004,TVC- Arson,10. Arson,0.0,4.0,4.0
Mizoram,2004,TVC- Arson,10. Arson,7.0,32.0,39.0
Nagaland,2004,TVC- Arson,10. Arson,1.0,4.0,5.0
Odisha,2004,TVC- Arson,10. Arson,0.0,294.0,294.0
Punjab,2004,TVC- Arson,10. Arson,6.0,34.0,40.0
Rajasthan,2004,TVC- Arson,10. Arson,0.0,407.0,407.0
Tamil Nadu,2004,TVC- Arson,10. Arson,25.0,413.0,438.0
Uttar Pradesh,2004,TVC- Arson,10. Arson,0.0,399.0,399.0
West Bengal,2004,TVC- Arson,10. Arson,2.0,53.0,55.0
Andhra Pradesh,2005,TVC- Arson,10. Arson,0.0,612.0,612.0
Arunachal Pradesh,2005,TVC- Arson,10. Arson,0.0,3.0,3.0
Assam,2005,TVC- Arson,10. Arson,2.0,209.0,211.0
Bihar,2005,TVC- Arson,10. Arson,0.0,258.0,258.0
Chandigarh,2005,TVC- Arson,10. Arson,0.0,1.0,1.0
Chhattisgarh,2005,TVC- Arson,10. Arson,50.0,83.0,133.0
Gujarat,2005,TVC- Arson,10. Arson,1.0,208.0,209.0
Haryana,2005,TVC- Arson,10. Arson,0.0,84.0,84.0
Himachal Pradesh,2005,TVC- Arson,10. Arson,0.0,81.0,81.0
Jammu & Kashmir,2005,TVC- Arson,10. Arson,0.0,42.0,42.0
Jharkhand,2005,TVC- Arson,10. Arson,0.0,84.0,84.0
Karnataka,2005,TVC- Arson,10. Arson,0.0,193.0,193.0
Maharashtra,2005,TVC- Arson,10. Arson,0.0,622.0,622.0
Manipur,2005,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2005,TVC- Arson,10. Arson,1.0,3.0,4.0
Mizoram,2005,TVC- Arson,10. Arson,1.0,5.0,6.0
Nagaland,2005,TVC- Arson,10. Arson,0.0,0.0,0.0
Odisha,2005,TVC- Arson,10. Arson,0.0,205.0,205.0
Punjab,2005,TVC- Arson,10. Arson,0.0,25.0,25.0
Tamil Nadu,2005,TVC- Arson,10. Arson,5.0,506.0,511.0
Uttar Pradesh,2005,TVC- Arson,10. Arson,0.0,433.0,433.0
West Bengal,2005,TVC- Arson,10. Arson,0.0,59.0,59.0
Andhra Pradesh,2006,TVC- Arson,10. Arson,0.0,681.0,681.0
Arunachal Pradesh,2006,TVC- Arson,10. Arson,0.0,3.0,3.0
Assam,2006,TVC- Arson,10. Arson,5.0,228.0,233.0
Bihar,2006,TVC- Arson,10. Arson,11.0,387.0,398.0
Chandigarh,2006,TVC- Arson,10. Arson,0.0,1.0,1.0
Chhattisgarh,2006,TVC- Arson,10. Arson,25.0,75.0,100.0
Dadra & Nagar Haveli,2006,TVC- Arson,10. Arson,0.0,2.0,2.0
Daman & Diu,2006,TVC- Arson,10. Arson,0.0,2.0,2.0
Gujarat,2006,TVC- Arson,10. Arson,1.0,200.0,201.0
Himachal Pradesh,2006,TVC- Arson,10. Arson,0.0,52.0,52.0
Jammu & Kashmir,2006,TVC- Arson,10. Arson,0.0,52.0,52.0
Jharkhand,2006,TVC- Arson,10. Arson,0.0,141.0,141.0
Karnataka,2006,TVC- Arson,10. Arson,0.0,139.0,139.0
Maharashtra,2006,TVC- Arson,10. Arson,0.0,615.0,615.0
Manipur,2006,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2006,TVC- Arson,10. Arson,1.0,15.0,16.0
Mizoram,2006,TVC- Arson,10. Arson,0.0,25.0,25.0
Nagaland,2006,TVC- Arson,10. Arson,0.0,0.0,0.0
Odisha,2006,TVC- Arson,10. Arson,0.0,173.0,173.0
Rajasthan,2006,TVC- Arson,10. Arson,0.0,314.0,314.0
Uttar Pradesh,2006,TVC- Arson,10. Arson,0.0,322.0,322.0
West Bengal,2006,TVC- Arson,10. Arson,0.0,93.0,93.0
Andhra Pradesh,2007,TVC- Arson,10. Arson,0.0,861.0,861.0
Arunachal Pradesh,2007,TVC- Arson,10. Arson,0.0,3.0,3.0
Assam,2007,TVC- Arson,10. Arson,6.0,152.0,158.0
Bihar,2007,TVC- Arson,10. Arson,0.0,325.0,325.0
Chandigarh,2007,TVC- Arson,10. Arson,0.0,1.0,1.0
Chhattisgarh,2007,TVC- Arson,10. Arson,55.0,87.0,142.0
Daman & Diu,2007,TVC- Arson,10. Arson,0.0,1.0,1.0
Gujarat,2007,TVC- Arson,10. Arson,1.0,236.0,237.0
Haryana,2007,TVC- Arson,10. Arson,0.0,83.0,83.0
Himachal Pradesh,2007,TVC- Arson,10. Arson,0.0,37.0,37.0
Jammu & Kashmir,2007,TVC- Arson,10. Arson,0.0,45.0,45.0
Karnataka,2007,TVC- Arson,10. Arson,1.0,146.0,147.0
Madhya Pradesh,2007,TVC- Arson,10. Arson,0.0,615.0,615.0
Maharashtra,2007,TVC- Arson,10. Arson,0.0,600.0,600.0
Manipur,2007,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2007,TVC- Arson,10. Arson,1.0,4.0,5.0
Mizoram,2007,TVC- Arson,10. Arson,0.0,18.0,18.0
Nagaland,2007,TVC- Arson,10. Arson,0.0,0.0,0.0
Odisha,2007,TVC- Arson,10. Arson,0.0,159.0,159.0
Tamil Nadu,2007,TVC- Arson,10. Arson,0.0,288.0,288.0
West Bengal,2007,TVC- Arson,10. Arson,0.0,124.0,124.0
Andhra Pradesh,2008,TVC- Arson,10. Arson,0.0,651.0,651.0
Arunachal Pradesh,2008,TVC- Arson,10. Arson,0.0,0.0,0.0
Assam,2008,TVC- Arson,10. Arson,3.0,138.0,141.0
Bihar,2008,TVC- Arson,10. Arson,0.0,418.0,418.0
Chhattisgarh,2008,TVC- Arson,10. Arson,31.0,81.0,112.0
Gujarat,2008,TVC- Arson,10. Arson,5.0,206.0,211.0
Haryana,2008,TVC- Arson,10. Arson,0.0,118.0,118.0
Himachal Pradesh,2008,TVC- Arson,10. Arson,0.0,46.0,46.0
Jammu & Kashmir,2008,TVC- Arson,10. Arson,0.0,23.0,23.0
Jharkhand,2008,TVC- Arson,10. Arson,3.0,68.0,71.0
Karnataka,2008,TVC- Arson,10. Arson,5.0,192.0,197.0
Maharashtra,2008,TVC- Arson,10. Arson,0.0,698.0,698.0
Manipur,2008,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2008,TVC- Arson,10. Arson,0.0,10.0,10.0
Mizoram,2008,TVC- Arson,10. Arson,0.0,32.0,32.0
Nagaland,2008,TVC- Arson,10. Arson,0.0,0.0,0.0
Odisha,2008,TVC- Arson,10. Arson,0.0,187.0,187.0
Tamil Nadu,2008,TVC- Arson,10. Arson,2.0,308.0,310.0
West Bengal,2008,TVC- Arson,10. Arson,0.0,83.0,83.0
Andhra Pradesh,2009,TVC- Arson,10. Arson,0.0,478.0,478.0
Arunachal Pradesh,2009,TVC- Arson,10. Arson,0.0,0.0,0.0
Assam,2009,TVC- Arson,10. Arson,5.0,125.0,130.0
Bihar,2009,TVC- Arson,10. Arson,0.0,338.0,338.0
Chandigarh,2009,TVC- Arson,10. Arson,0.0,0.0,0.0
Chhattisgarh,2009,TVC- Arson,10. Arson,32.0,102.0,134.0
Gujarat,2009,TVC- Arson,10. Arson,2.0,181.0,183.0
Haryana,2009,TVC- Arson,10. Arson,0.0,91.0,91.0
Himachal Pradesh,2009,TVC- Arson,10. Arson,0.0,48.0,48.0
Jammu & Kashmir,2009,TVC- Arson,10. Arson,0.0,94.0,94.0
Jharkhand,2009,TVC- Arson,10. Arson,0.0,94.0,94.0
Karnataka,2009,TVC- Arson,10. Arson,12.0,110.0,122.0
Madhya Pradesh,2009,TVC- Arson,10. Arson,0.0,889.0,889.0
Maharashtra,2009,TVC- Arson,10. Arson,0.0,580.0,580.0
Manipur,2009,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2009,TVC- Arson,10. Arson,0.0,16.0,16.0
Nagaland,2009,TVC- Arson,10. Arson,1.0,5.0,6.0
Odisha,2009,TVC- Arson,10. Arson,0.0,266.0,266.0
Punjab,2009,TVC- Arson,10. Arson,1.0,33.0,34.0
Sikkim,2009,TVC- Arson,10. Arson,0.0,4.0,4.0
Tamil Nadu,2009,TVC- Arson,10. Arson,6.0,259.0,265.0
Tripura,2009,TVC- Arson,10. Arson,0.0,20.0,20.0
West Bengal,2009,TVC- Arson,10. Arson,0.0,84.0,84.0
Andhra Pradesh,2010,TVC- Arson,10. Arson,0.0,706.0,706.0
Arunachal Pradesh,2010,TVC- Arson,10. Arson,0.0,2.0,2.0
Assam,2010,TVC- Arson,10. Arson,2.0,84.0,86.0
Chandigarh,2010,TVC- Arson,10. Arson,0.0,1.0,1.0
Chhattisgarh,2010,TVC- Arson,10. Arson,30.0,111.0,141.0
Delhi,2010,TVC- Arson,10. Arson,1.0,6.0,7.0
Goa,2010,TVC- Arson,10. Arson,0.0,17.0,17.0
Gujarat,2010,TVC- Arson,10. Arson,2.0,212.0,214.0
Himachal Pradesh,2010,TVC- Arson,10. Arson,0.0,36.0,36.0
Jammu & Kashmir,2010,TVC- Arson,10. Arson,0.0,41.0,41.0
Jharkhand,2010,TVC- Arson,10. Arson,0.0,72.0,72.0
Karnataka,2010,TVC- Arson,10. Arson,0.0,129.0,129.0
Kerala,2010,TVC- Arson,10. Arson,0.0,124.0,124.0
Maharashtra,2010,TVC- Arson,10. Arson,0.0,607.0,607.0
Manipur,2010,TVC- Arson,10. Arson,0.0,0.0,0.0
Meghalaya,2010,TVC- Arson,10. Arson,0.0,5.0,5.0
Mizoram,2010,TVC- Arson,10. Arson,6.0,11.0,17.0
Nagaland,2010,TVC- Arson,10. Arson,1.0,2.0,3.0
Odisha,2010,TVC- Arson,10. Arson,0.0,301.0,301.0
Tamil Nadu,2010,TVC- Arson,10. Arson,0.0,222.0,222.0
West Bengal,2010,TVC- Arson,10. Arson,2.0,82.0,84.0
Andhra Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1391.0,1391.0
Arunachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,3.0,3.0
Assam,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,8.0,176.0,184.0
Bihar,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10.0,2302.0,2312.0
Chandigarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,18.0,18.0
Chhattisgarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,158.0,235.0,393.0
Delhi,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,37.0,86.0,123.0
Gujarat,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,257.0,260.0
Haryana,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,13.0,397.0,410.0
Himachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,73.0,73.0
Jammu & Kashmir,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,299.0,299.0
Jharkhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10.0,590.0,600.0
Karnataka,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1095.0,1095.0
Kerala,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,147.0,151.0
Maharashtra,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,16.0,792.0,808.0
Meghalaya,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,9.0,11.0
Mizoram,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,10.0,13.0
Nagaland,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,5.0,8.0
Odisha,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,802.0,802.0
Rajasthan,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1771.0,1771.0
Sikkim,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2.0,3.0
Tamil Nadu,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,1750.0,1754.0
Uttar Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,5336.0,5338.0
Uttarakhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,183.0,186.0
West Bengal,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,329.0,330.0
Andaman & Nicobar Islands,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2.0,2.0
Andhra Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1401.0,1401.0
Assam,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,148.0,151.0
Bihar,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1520.0,1520.0
Chandigarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,16.0,16.0
Chhattisgarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,502.0,363.0,865.0
Daman & Diu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2.0,2.0
Delhi,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,138.0,138.0
Gujarat,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,399.0,402.0
Haryana,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,391.0,394.0
Himachal Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,52.0,52.0
Jammu & Kashmir,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,321.0,321.0
Karnataka,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1124.0,1124.0
Madhya Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2579.0,2579.0
Maharashtra,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1191.0,1191.0
Manipur,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4.0,4.0
Meghalaya,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10.0,10.0
Mizoram,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,4.0,5.0
Nagaland,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,13.0,14.0
Odisha,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,757.0,757.0
Punjab,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,576.0,576.0
Rajasthan,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2313.0,2313.0
Sikkim,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,6.0,8.0
Tamil Nadu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,51.0,1734.0,1785.0
Uttar Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,6372.0,6372.0
Uttarakhand,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,203.0,203.0
West Bengal,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,305.0,305.0
Andaman & Nicobar Islands,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1.0,1.0
Andhra Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1322.0,1322.0
Arunachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1.0,1.0
Assam,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,174.0,179.0
Bihar,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2236.0,2236.0
Chandigarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,17.0,17.0
Chhattisgarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,457.0,457.0
Daman & Diu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2.0,2.0
Gujarat,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,588.0,590.0
Haryana,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,483.0,486.0
Himachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,66.0,66.0
Jammu & Kashmir,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,199.0,200.0
Jharkhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,982.0,982.0
Karnataka,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1377.0,1377.0
Kerala,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,198.0,198.0
Maharashtra,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,20.0,1202.0,1222.0
Meghalaya,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10.0,10.0
Mizoram,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,6.0,13.0,19.0
Nagaland,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10.0,10.0
Odisha,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1117.0,1117.0
Punjab,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,560.0,560.0
Tamil Nadu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,123.0,1976.0,2099.0
Uttar Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,5129.0,5130.0
Uttarakhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,253.0,255.0
West Bengal,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,383.0,383.0
Andhra Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1261.0,1261.0
Arunachal Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,5.0,5.0
Assam,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,177.0,181.0
Bihar,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2445.0,2446.0
Chandigarh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,12.0,12.0
Chhattisgarh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,22.0,451.0,473.0
Daman & Diu,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,3.0,3.0
Gujarat,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,592.0,597.0
Haryana,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,439.0,442.0
Himachal Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,72.0,72.0
Jammu & Kashmir,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,217.0,217.0
Karnataka,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1735.0,1735.0
Kerala,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,297.0,297.0
Maharashtra,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,1358.0,1362.0
Manipur,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,0.0,0.0
Meghalaya,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,8.0,8.0
Mizoram,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,50.0,53.0
Nagaland,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,33.0,36.0
Odisha,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,954.0,954.0
Puducherry,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,36.0,36.0
Punjab,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,123.0,392.0,515.0
Rajasthan,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2154.0,2155.0
Tamil Nadu,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,35.0,1841.0,1876.0
Uttar Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,5575.0,5576.0
West Bengal,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,282.0,282.0
Andhra Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1157.0,1157.0
Arunachal Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4.0,4.0
Assam,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,193.0,195.0
Bihar,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2769.0,2769.0
Chandigarh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,7.0,7.0
Chhattisgarh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,178.0,217.0,395.0
Gujarat,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,482.0,485.0
Haryana,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,449.0,449.0
Himachal Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,78.0,78.0
Jammu & Kashmir,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,198.0,198.0
Jharkhand,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,36.0,884.0,920.0
Karnataka,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,1742.0,1743.0
Kerala,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,292.0,292.0
Madhya Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2766.0,2766.0
Maharashtra,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,1232.0,1237.0
Manipur,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1.0,1.0
Meghalaya,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,10.0,11.0
